,graph_id,aufb_bezeichnung,aufb_quelle,aufb_datum
0,norm_lobbyregister_eintrag_2022-09-19_#0000001,'Biodiversity in Good Company' Initiative e.V.,lobbyregister_eintrag,2022-09-19
1,norm_lobbypedia_parteispenden_2022-09-19_#0000002,'Gesellschaft für Emissionsmanagement und Beratung mbH',lobbypedia_parteispenden,2022-09-19
2,norm_lobbyregister_eintrag_2022-09-19_#0000003,'IHK Frankfurt,lobbyregister_eintrag,2022-09-19
3,norm_lobbypedia_parteispenden_2022-09-19_#0000004,'Koch''sche Vermögensverwaltungs GmbH',lobbypedia_parteispenden,2022-09-19
4,norm_lobbypedia_parteispenden_2022-09-19_#0000005,'Rücker''s Ostsee-Molkerei Wismar GmbH',lobbypedia_parteispenden,2022-09-19
5,norm_lobbypedia_parteispenden_2022-09-19_#0000006,'Victor''s Bau Wert AG',lobbypedia_parteispenden,2022-09-19
6,norm_a_watch_organisation_2022-09-19_#0000007,"""3 S GbR“",a_watch_organisation,2022-09-19
7,norm_lobbyregister_eintrag_2022-09-19_#0000008,"""AFB Arbeitskreis Fuhrbarkmanagement Bodensee e.V. c/o Uwe Seitz",lobbyregister_eintrag,2022-09-19
8,norm_lobbyregister_eintrag_2022-09-19_#0000009,"""Biofuels Schweiz",lobbyregister_eintrag,2022-09-19
9,norm_lobbyregister_eintrag_2022-09-19_#0000010,"""Demokratie leben!"" - Bundesprogramm des Bundesministerium für Familie, Senioren, Frauen und Jugend",lobbyregister_eintrag,2022-09-19
10,norm_a_watch_organisation_2022-09-19_#0000011,"""DER RHEINBERGER“ Verwaltungs-GmbH",a_watch_organisation,2022-09-19
11,norm_a_watch_organisation_2022-09-19_#0000012,"""Freundeskreis Turnen“ in der STB-Stiftung des Schwäbischen Turnerbundes e.V.",a_watch_organisation,2022-09-19
12,norm_a_watch_organisation_2022-09-19_#0000013,"""Glückauf Zukunft!“, Projekt der RAG Stiftung, RAG AG und Evonik Industries AG",a_watch_organisation,2022-09-19
13,norm_a_watch_organisation_2022-09-19_#0000014,"""Institut für Klimaschutz, Energie und Mobilität e.V.""",a_watch_organisation,2022-09-19
