Column,graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,graph_auftraggeber_anzahl
0,orig_lobbyregister_2022-09-02_#0014186,lobbyregister_client,lobbyregister,2022-09-02,@-yet GmbH,@-yet GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000024,
1,orig_lobbyregister_2022-06-02_#0014187,lobbyregister_client,lobbyregister,2022-06-02,1.5° Ventures GmbH c/o Factory Works GmbH,1.5° Ventures GmbH c/o Factory Works GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000033,
2,orig_lobbyregister_2022-08-15_#0014188,lobbyregister_client,lobbyregister,2022-08-15,1&1 AG,1&1 AG,norm_lobbyregister_eintrag_2022-09-19_#0000038,
3,orig_lobbyregister_2022-08-15_#0014189,lobbyregister_client,lobbyregister,2022-08-15,1&1 Mail & Media Applications SE,1&1 Mail & Media Applications SE,norm_lobbyregister_eintrag_2022-09-19_#0000039,
4,orig_lobbyregister_2022-08-15_#0014190,lobbyregister_client,lobbyregister,2022-08-15,1&1 Versatel GmbH,1&1 Versatel GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000040,
5,orig_lobbyregister_2022-08-31_#0014191,lobbyregister_client,lobbyregister,2022-08-31,2G Energietechnik GmbH,2G Energietechnik GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000093,
6,orig_lobbyregister_2022-03-04_#0014192,lobbyregister_client,lobbyregister,2022-03-04,3M Deutschland GmbH,3M Deutschland GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000113,
7,orig_lobbyregister_2022-06-02_#0014193,lobbyregister_client,lobbyregister,2022-06-02,50HertzTransmission GmbH,50HertzTransmission GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000139,
8,orig_lobbyregister_2022-09-14_#0014194,lobbyregister_client,lobbyregister,2022-09-14,50Hertz Transmission GmbH,50Hertz Transmission GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000140,
9,orig_lobbyregister_2022-09-15_#0014195,lobbyregister_client,lobbyregister,2022-09-15,ABB Asea Brown Boveri Ltd.,ABB Asea Brown Boveri Ltd.,norm_lobbyregister_eintrag_2022-09-19_#0000189,
10,orig_lobbyregister_2022-06-20_#0014196,lobbyregister_client,lobbyregister,2022-06-20,Abbott Laboratories Deutschland GmbH,Abbott Laboratories Deutschland GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000192,
11,orig_lobbyregister_2022-03-03_#0014197,lobbyregister_client,lobbyregister,2022-03-03,Abbvie,Abbvie,norm_lobbyregister_eintrag_2022-09-19_#0000194,
12,orig_lobbyregister_2022-03-04_#0014198,lobbyregister_client,lobbyregister,2022-03-04,AbbVie Deutschland GmbH & Co. KG,AbbVie Deutschland GmbH & Co. KG,norm_lobbyregister_eintrag_2022-09-19_#0000195,
13,orig_lobbyregister_2022-03-03_#0014199,lobbyregister_client,lobbyregister,2022-03-03,ABDA Bundesvereinigung Deutscher Apothekerverbände,ABDA Bundesvereinigung Deutscher Apothekerverbände,norm_lobbyregister_eintrag_2022-09-19_#0000198,
14,orig_lobbyregister_2022-06-20_#0014200,lobbyregister_client,lobbyregister,2022-06-20,ABDA - Bundesvereinigung Deutscher Apothekerverbände e. V.,ABDA - Bundesvereinigung Deutscher Apothekerverbände e. V.,norm_lobbyregister_eintrag_2022-09-19_#0000201,
