Column,graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_quelle_id,aufb_ersteintrag,aufb_jahres_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,aufb_art_rechtsform,aufb_taetigkeitskategorie,aufb_intver_finanz_aufw_jahr_von,aufb_intver_finanz_aufw_jahr_bis,aufb_intver_jahr_start,aufb_intver_jahr_ende,aufb_intver_anzahl_besch_min,aufb_intver_anzahl_besch_max,aufb_intver_liste_beschaeftigte_unmittelbar,graph_intver_anzahl_beschaeftigte_unmittelbar,aufb_mitglieder_anzahl_wert,aufb_mitglieder_zaehlung_datum,aufb_mitgliedschaften_liste,graph_mitgliedschaften_anzahl,aufb_auftraggeber_liste,graph_auftraggeber_anzahl
0,orig_lobbyregister_2022-09-16_#R005212,lobbyregister_lobbyist,lobbyregister,2022-09-16,R005212,2022-09-16,,ELPUENTE@CUBA e.V.,ELPUENTE@CUBA e.V.,norm_lobbyregister_eintrag_2022-09-19_#0009333,Eingetragener Verein (e. V.),"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",1.0,10000.0,01/21,12/21,1,10,,,22.0,2022-09-12,LAV - Lateinamerika Verein e.V.,1.0,,
1,orig_lobbyregister_2022-09-16_#R005211,lobbyregister_lobbyist,lobbyregister,2022-09-16,R005211,2022-09-16,,IG RiverCruise,IG RiverCruise,norm_lobbyregister_eintrag_2022-09-19_#0013726,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,40001.0,50000.0,01/21,12/21,1,10,,,24.0,2022-01-01,"European Barge Union,Bundesverband der Deutschen Binnenschifffahrt eV,Deutscher Wasserstrassen- und Schifffahrtsverein Rhein-Main-Donau eV",3.0,,
2,orig_lobbyregister_2022-09-16_#R005210,lobbyregister_lobbyist,lobbyregister,2022-09-16,R005210,2022-09-16,,Krankenhausgesellschaft Sachsen,Krankenhausgesellschaft Sachsen,norm_lobbyregister_eintrag_2022-09-19_#0015835,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1.0,10000.0,01/20,12/20,11,20,Stephan Helm,,78.0,2022-03-10,Deutsche Krankenhausgesellschaft e. V.,1.0,,
3,orig_lobbyregister_2022-09-16_#R005209,lobbyregister_lobbyist,lobbyregister,2022-09-16,R005209,2022-09-16,,Fachstelle für Suchtprävention Berlin gGmbH,Fachstelle für Suchtprävention Berlin gGmbH,norm_lobbyregister_eintrag_2022-09-19_#0010600,Gesellschaft mit beschränkter Haftung (GmbH),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",0.0,0.0,01/21,12/21,11,20,,,,,Paritätischer Berlin,1.0,,
4,orig_lobbyregister_2022-09-16_#R005208,lobbyregister_lobbyist,lobbyregister,2022-09-16,R005208,2022-09-16,,AgrarBündnis e.V.,AgrarBündnis e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000504,Eingetragener Verein (e. V.),"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",110001.0,120000.0,01/21,12/21,1,10,Frieder Thomas,,26.0,2022-01-01,,,,
5,orig_lobbyregister_2022-09-16_#R005207,lobbyregister_lobbyist,lobbyregister,2022-09-16,R005207,2022-09-16,,Holger Freitag,Holger Freitag,norm_lobbyregister_eintrag_2022-09-19_#0013420,,"Anwaltskanzlei, Einzelanwältin oder Einzelanwalt",1.0,10000.0,01/21,12/21,0,0,,,,,,,VPB Verband Privater Bauherren e.V.,1.0
6,orig_lobbyregister_2022-09-16_#R005206,lobbyregister_lobbyist,lobbyregister,2022-09-16,R005206,2022-09-16,,Netzwerk Ernährungsräte Niedersachsen e.V.,Netzwerk Ernährungsräte Niedersachsen e.V.,norm_lobbyregister_eintrag_2022-09-19_#0017997,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1.0,10000.0,01/21,12/21,1,10,,,8.0,2022-07-01,,,,
7,orig_lobbyregister_2022-09-15_#R005205,lobbyregister_lobbyist,lobbyregister,2022-09-15,R005205,2022-09-15,,FVLR Fachverband Tageslicht und Rauchschutz,FVLR Fachverband Tageslicht und Rauchschutz,norm_lobbyregister_eintrag_2022-09-19_#0011786,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,,,,,1,10,,,13.0,2022-01-10,"Eurolux , vfdb, LiTG, DIN",4.0,,
8,orig_lobbyregister_2022-09-15_#R005204,lobbyregister_lobbyist,lobbyregister,2022-09-15,R005204,2022-09-15,,Vereinigung der Dienstleister an Deutschen Flughäfen e.V. (VDF),Vereinigung der Dienstleister an Deutschen Flughäfen e.V. (VDF),norm_lobbyregister_eintrag_2022-09-19_#0023670,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,1.0,10000.0,01/21,12/21,1,10,Klaus Knöpfle,,39.0,2022-03-28,"IMW Interessenvereinigung Mittelständische Wirtschaft e.V.,Berlin-Brandenburg Aerospace Allianz e.V.",2.0,,
9,orig_lobbyregister_2022-09-15_#R005203,lobbyregister_lobbyist,lobbyregister,2022-09-15,R005203,2022-09-15,,Bundesverband Wassersportwirtschaft e.V.,Bundesverband Wassersportwirtschaft e.V.,norm_lobbyregister_eintrag_2022-09-19_#0005088,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,40001.0,50000.0,11/20,10/21,1,10,"Eva Michalski,Ben Hoffmann",,418.0,2022-01-01,"European Boating Industry (EBI),Deutscher Tourismusverband e.V.",2.0,,
10,orig_lobbyregister_2022-09-15_#R005202,lobbyregister_lobbyist,lobbyregister,2022-09-15,R005202,2022-09-15,,Motorola Solutions Germany GmbH,Motorola Solutions Germany GmbH,norm_lobbyregister_eintrag_2022-09-19_#0017626,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,,,,,1,10,,,,,"American Chamber of Commerce - AMCHAM,Professioneller Mobilfunk e. V. - PMeV,BITKOM e.V.",3.0,,
11,orig_lobbyregister_2022-09-15_#R005201,lobbyregister_lobbyist,lobbyregister,2022-09-15,R005201,2022-09-15,,Amylyx Pharmaceuticals Germany GmbH,Amylyx Pharmaceuticals Germany GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001083,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,,,,,1,10,Colin Wernsdörfer,,,,,,,
12,orig_lobbyregister_2022-09-15_#R005200,lobbyregister_lobbyist,lobbyregister,2022-09-15,R005200,2022-09-15,,Gesundheit Berlin-Brandenburg e.V.,Gesundheit Berlin-Brandenburg e.V.,norm_lobbyregister_eintrag_2022-09-19_#0012447,Eingetragener Verein (e. V.),"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",,,,,1,10,,,109.0,2022-06-08,"Bundesvereinigung für Prävention und Gesundheitsförderung e.V.,Paritätischer Landesverband Berlin",2.0,,
