,graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,graph_mitgliedschaften_anzahl
0,orig_lobbyregister_2022-04-12_#0000001,lobbyregister_membership,lobbyregister,2022-04-12,'Biodiversity in Good Company' Initiative e.V.,'Biodiversity in Good Company' Initiative e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000001,
1,orig_lobbyregister_2022-02-24_#0000002,lobbyregister_membership,lobbyregister,2022-02-24,'Biodiversity in Good Company' Initiative e. V.,'Biodiversity in Good Company' Initiative e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000001,
2,orig_lobbyregister_2022-09-13_#0000003,lobbyregister_membership,lobbyregister,2022-09-13,'IHK Frankfurt,'IHK Frankfurt,norm_lobbyregister_eintrag_2022-09-19_#0000003,
3,orig_lobbyregister_2022-05-04_#0000004,lobbyregister_membership,lobbyregister,2022-05-04,"""AFB Arbeitskreis Fuhrbarkmanagement Bodensee e.V. c/o Uwe Seitz","""AFB Arbeitskreis Fuhrbarkmanagement Bodensee e.V. c/o Uwe Seitz",norm_lobbyregister_eintrag_2022-09-19_#0000008,
4,orig_lobbyregister_2022-05-04_#0000005,lobbyregister_membership,lobbyregister,2022-05-04,"""Biofuels Schweiz","""Biofuels Schweiz",norm_lobbyregister_eintrag_2022-09-19_#0000009,
5,orig_lobbyregister_2022-07-01_#0000006,lobbyregister_membership,lobbyregister,2022-07-01,"""Intec""-Beirat","""Intec""-Beirat",norm_lobbyregister_eintrag_2022-09-19_#0000015,
6,orig_lobbyregister_2022-07-01_#0000007,lobbyregister_membership,lobbyregister,2022-07-01,(AiF),(AiF),norm_lobbyregister_eintrag_2022-09-19_#0000017,
7,orig_lobbyregister_2022-03-18_#0000008,lobbyregister_membership,lobbyregister,2022-03-18,(bsw),(bsw),norm_lobbyregister_eintrag_2022-09-19_#0000019,
8,orig_lobbyregister_2022-02-23_#0000009,lobbyregister_membership,lobbyregister,2022-02-23,(DHV),(DHV),norm_lobbyregister_eintrag_2022-09-19_#0000020,
9,orig_lobbyregister_2022-07-04_#0000010,lobbyregister_membership,lobbyregister,2022-07-04,(IDLw),(IDLw),norm_lobbyregister_eintrag_2022-09-19_#0000021,
10,orig_lobbyregister_2022-08-02_#0000011,lobbyregister_membership,lobbyregister,2022-08-02,"(MiMuk) NRW - AG"" Mutter-Vater-Kind- Einrichtungen","(MiMuk) NRW - AG"" Mutter-Vater-Kind- Einrichtungen",norm_lobbyregister_eintrag_2022-09-19_#0000022,
11,orig_lobbyregister_2022-07-11_#0000012,lobbyregister_membership,lobbyregister,2022-07-11,(NARK),(NARK),norm_lobbyregister_eintrag_2022-09-19_#0000023,
12,orig_lobbyregister_2022-07-07_#0000013,lobbyregister_membership,lobbyregister,2022-07-07,#NoNIPT - Bündnis gegen die Kassenfinanzierung des Bluttests auf Trisomien,#NoNIPT - Bündnis gegen die Kassenfinanzierung des Bluttests auf Trisomien,norm_lobbyregister_eintrag_2022-09-19_#0000027,
13,orig_lobbyregister_2022-03-24_#0000014,lobbyregister_membership,lobbyregister,2022-03-24,| Gedenkort T4,| Gedenkort T4,norm_lobbyregister_eintrag_2022-09-19_#0000030,
14,orig_lobbyregister_2022-08-15_#0000015,lobbyregister_membership,lobbyregister,2022-08-15,01979 Lauchhammer,01979 Lauchhammer,norm_lobbyregister_eintrag_2022-09-19_#0000031,
15,orig_lobbyregister_2022-06-03_#0000016,lobbyregister_membership,lobbyregister,2022-06-03,1,1,norm_lobbyregister_eintrag_2022-09-19_#0000032,
16,orig_lobbyregister_2022-03-31_#0000017,lobbyregister_membership,lobbyregister,2022-03-31,1. Bund der deutschen Landjugend,1. Bund der deutschen Landjugend,norm_lobbyregister_eintrag_2022-09-19_#0000034,
17,orig_lobbyregister_2022-03-01_#0000018,lobbyregister_membership,lobbyregister,2022-03-01,1002 Lausanne Switzerland,1002 Lausanne Switzerland,norm_lobbyregister_eintrag_2022-09-19_#0000043,
