graph_id,aufb_bezeichnung,aufb_quelle,aufb_datum
"""""",'Biodiversity in Good Company' Initiative e.V.,lobbyregister_eintrag,2022-09-19
"""""",'Gesellschaft für Emissionsmanagement und Beratung mbH',lobbypedia_parteispenden,2022-09-19
"""""",'IHK Frankfurt,lobbyregister_eintrag,2022-09-19
"""""",'Koch''sche Vermögensverwaltungs GmbH',lobbypedia_parteispenden,2022-09-19
"""""",'Rücker''s Ostsee-Molkerei Wismar GmbH',lobbypedia_parteispenden,2022-09-19
"""""",'Victor''s Bau Wert AG',lobbypedia_parteispenden,2022-09-19
"""""","""3 S GbR“",a_watch_organisation,2022-09-19
"""""","""AFB Arbeitskreis Fuhrbarkmanagement Bodensee e.V. c/o Uwe Seitz",lobbyregister_eintrag,2022-09-19
"""""","""Biofuels Schweiz",lobbyregister_eintrag,2022-09-19
"""""","""Demokratie leben!"" - Bundesprogramm des Bundesministerium für Familie, Senioren, Frauen und Jugend",lobbyregister_eintrag,2022-09-19
"""""","""DER RHEINBERGER“ Verwaltungs-GmbH",a_watch_organisation,2022-09-19
"""""","""Freundeskreis Turnen“ in der STB-Stiftung des Schwäbischen Turnerbundes e.V.",a_watch_organisation,2022-09-19
"""""","""Glückauf Zukunft!“, Projekt der RAG Stiftung, RAG AG und Evonik Industries AG",a_watch_organisation,2022-09-19
"""""","""Institut für Klimaschutz, Energie und Mobilität e.V.""",a_watch_organisation,2022-09-19
"""""","""Intec""-Beirat",lobbyregister_eintrag,2022-09-19
"""""","""MINT Zukunft schaffen!""",lobbyregister_eintrag,2022-09-19
"""""",(AiF),lobbyregister_eintrag,2022-09-19
"""""",(AKA) Arbeitsgemeinschaft kommunale und kirchliche Altersversorgung,lobbyregister_eintrag,2022-09-19
"""""",(bsw),lobbyregister_eintrag,2022-09-19
"""""",(DHV),lobbyregister_eintrag,2022-09-19
"""""",(IDLw),lobbyregister_eintrag,2022-09-19
"""""","(MiMuk) NRW - AG"" Mutter-Vater-Kind- Einrichtungen",lobbyregister_eintrag,2022-09-19
"""""",(NARK),lobbyregister_eintrag,2022-09-19
"""""",@-yet GmbH,lobbyregister_eintrag,2022-09-19
"""""",#ErnährungswendeAnpacken,lobbyregister_eintrag,2022-09-19
"""""",#GenoDigitalJetzt,lobbyregister_eintrag,2022-09-19
"""""",#NoNIPT - Bündnis gegen die Kassenfinanzierung des Bluttests auf Trisomien,lobbyregister_eintrag,2022-09-19
"""""",#NoNIPT - Bündnis gegen die Kassenfinanzierung des Bluttests auf Trisomien*,lobbyregister_eintrag,2022-09-19
"""""",#Rehazukunftspakt,lobbyregister_eintrag,2022-09-19
"""""",| Gedenkort T4,lobbyregister_eintrag,2022-09-19
"""""",01979 Lauchhammer,lobbyregister_eintrag,2022-09-19
"""""",1,lobbyregister_eintrag,2022-09-19
"""""",1.5° Ventures GmbH c/o Factory Works GmbH,lobbyregister_eintrag,2022-09-19
"""""",1. Bund der deutschen Landjugend,lobbyregister_eintrag,2022-09-19
"""""",1. FC Köln GmbH & Co. KGaA,a_watch_organisation,2022-09-19
"""""","1) Bundesministerium für Familie, Senioren, Frauen und Jugend",lobbyregister_eintrag,2022-09-19
"""""","1) Juristische Person, Essen",lobbyregister_eintrag,2022-09-19
"""""",1&1 AG,lobbyregister_eintrag,2022-09-19
"""""",1&1 Mail & Media Applications SE,lobbyregister_eintrag,2022-09-19
"""""",1&1 Versatel GmbH,lobbyregister_eintrag,2022-09-19
"""""",10) Bundesamt für Familie und zivilgesellschaftliche Aufgaben,lobbyregister_eintrag,2022-09-19
"""""","10) Juristische Person, Düsseldorf",lobbyregister_eintrag,2022-09-19
"""""",1002 Lausanne Switzerland,lobbyregister_eintrag,2022-09-19
"""""",100 prozent erneuerbar stiftung,lobbyregister_eintrag,2022-09-19
"""""",100 Prozent GmbH - Wirtschaftsverband Erneuerbarer Energien,lobbyregister_eintrag,2022-09-19
"""""",10115 Berlin,lobbyregister_eintrag,2022-09-19
"""""",10117 Berlin,lobbyregister_eintrag,2022-09-19
"""""","1014, Inc. New York",a_watch_organisation,2022-09-19
"""""",10179 Berlin,lobbyregister_eintrag,2022-09-19
"""""",102. Deutscher Katholikentag Stuttgart 2022 e. V.,lobbyregister_eintrag,2022-09-19
"""""",10245 Berlin,lobbyregister_eintrag,2022-09-19
"""""",103. Deutscher Katholikentag Erfurt 2024 e. V.,lobbyregister_eintrag,2022-09-19
"""""",10557 Berlin,lobbyregister_eintrag,2022-09-19
"""""",10719 Berlin,lobbyregister_eintrag,2022-09-19
"""""",10772 Berlin,lobbyregister_eintrag,2022-09-19
"""""",10785 Berlin,lobbyregister_eintrag,2022-09-19
"""""",10969 Berlin,lobbyregister_eintrag,2022-09-19
"""""",11) Bundesamt für Migration und Flüchtlinge,lobbyregister_eintrag,2022-09-19
"""""","11) Juristische Person, Chicago, Vereinigte Staaten",lobbyregister_eintrag,2022-09-19
"""""","12) Juristische Person, Berlin",lobbyregister_eintrag,2022-09-19
"""""","12) Senat für Bildung, Jugend und Familie",lobbyregister_eintrag,2022-09-19
"""""","13) Juristische Person, Düsseldorf",lobbyregister_eintrag,2022-09-19
