graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_quelle_id,aufb_ersteintrag,aufb_jahres_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,aufb_art_rechtsform,aufb_taetigkeitskategorie,aufb_intver_finanz_aufw_jahr_von,aufb_intver_finanz_aufw_jahr_bis,aufb_intver_jahr_start,aufb_intver_jahr_ende,aufb_intver_anzahl_besch_min,aufb_intver_anzahl_besch_max,aufb_intver_liste_beschaeftigte_unmittelbar,graph_intver_anzahl_beschaeftigte_unmittelbar,aufb_mitglieder_anzahl_wert,aufb_mitglieder_zaehlung_datum,aufb_mitgliedschaften_liste,graph_mitgliedschaften_anzahl,aufb_auftraggeber_liste,graph_auftraggeber_anzahl
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-16,R005212,2022-09-16,,ELPUENTE@CUBA e.V.,ELPUENTE@CUBA e.V.,,Eingetragener Verein (e. V.),"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",1,10000,01/21,12/21,1,10,,,22,2022-09-12,LAV - Lateinamerika Verein e.V.,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-16,R005211,2022-09-16,,IG RiverCruise,IG RiverCruise,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,40001,50000,01/21,12/21,1,10,,,24,2022-01-01,"European Barge Union,Bundesverband der Deutschen Binnenschifffahrt eV,Deutscher Wasserstrassen- und Schifffahrtsverein Rhein-Main-Donau eV",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-16,R005210,2022-09-16,,Krankenhausgesellschaft Sachsen,Krankenhausgesellschaft Sachsen,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1,10000,01/20,12/20,11,20,Stephan Helm,,78,2022-03-10,Deutsche Krankenhausgesellschaft e. V.,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-16,R005209,2022-09-16,,Fachstelle für Suchtprävention Berlin gGmbH,Fachstelle für Suchtprävention Berlin gGmbH,,Gesellschaft mit beschränkter Haftung (GmbH),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",0,0,01/21,12/21,11,20,,,,,Paritätischer Berlin,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-16,R005208,2022-09-16,,AgrarBündnis e.V.,AgrarBündnis e.V.,,Eingetragener Verein (e. V.),"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",110001,120000,01/21,12/21,1,10,Frieder Thomas,,26,2022-01-01,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-16,R005207,2022-09-16,,Holger Freitag,Holger Freitag,,,"Anwaltskanzlei, Einzelanwältin oder Einzelanwalt",1,10000,01/21,12/21,0,0,,,,,,,VPB Verband Privater Bauherren e.V.,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-16,R005206,2022-09-16,,Netzwerk Ernährungsräte Niedersachsen e.V.,Netzwerk Ernährungsräte Niedersachsen e.V.,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1,10000,01/21,12/21,1,10,,,8,2022-07-01,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-15,R005205,2022-09-15,,FVLR Fachverband Tageslicht und Rauchschutz,FVLR Fachverband Tageslicht und Rauchschutz,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,,,,,1,10,,,13,2022-01-10,"Eurolux , vfdb, LiTG, DIN",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-15,R005204,2022-09-15,,Vereinigung der Dienstleister an Deutschen Flughäfen e.V. (VDF),Vereinigung der Dienstleister an Deutschen Flughäfen e.V. (VDF),,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,1,10000,01/21,12/21,1,10,Klaus Knöpfle,,39,2022-03-28,"IMW Interessenvereinigung Mittelständische Wirtschaft e.V.,Berlin-Brandenburg Aerospace Allianz e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-15,R005203,2022-09-15,,Bundesverband Wassersportwirtschaft e.V.,Bundesverband Wassersportwirtschaft e.V.,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,40001,50000,11/20,10/21,1,10,"Eva Michalski,Ben Hoffmann",,418,2022-01-01,"European Boating Industry (EBI),Deutscher Tourismusverband e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-15,R005202,2022-09-15,,Motorola Solutions Germany GmbH,Motorola Solutions Germany GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,,,,,1,10,,,,,"American Chamber of Commerce - AMCHAM,Professioneller Mobilfunk e. V. - PMeV,BITKOM e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-15,R005201,2022-09-15,,Amylyx Pharmaceuticals Germany GmbH,Amylyx Pharmaceuticals Germany GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,,,,,1,10,Colin Wernsdörfer,,,,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-15,R005200,2022-09-15,,Gesundheit Berlin-Brandenburg e.V.,Gesundheit Berlin-Brandenburg e.V.,,Eingetragener Verein (e. V.),"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",,,,,1,10,,,109,2022-06-08,"Bundesvereinigung für Prävention und Gesundheitsförderung e.V.,Paritätischer Landesverband Berlin",,,
