graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,graph_mitgliedschaften_anzahl
"""""",lobbyregister_membership,lobbyregister,2022-04-12,'Biodiversity in Good Company' Initiative e.V.,'Biodiversity in Good Company' Initiative e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000001,
"""""",lobbyregister_membership,lobbyregister,2022-02-24,'Biodiversity in Good Company' Initiative e. V.,'Biodiversity in Good Company' Initiative e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000001,
"""""",lobbyregister_membership,lobbyregister,2022-09-13,'IHK Frankfurt,'IHK Frankfurt,norm_lobbyregister_eintrag_2022-09-19_#0000003,
"""""",lobbyregister_membership,lobbyregister,2022-05-04,"""AFB Arbeitskreis Fuhrbarkmanagement Bodensee e.V. c/o Uwe Seitz","""AFB Arbeitskreis Fuhrbarkmanagement Bodensee e.V. c/o Uwe Seitz",norm_lobbyregister_eintrag_2022-09-19_#0000008,
"""""",lobbyregister_membership,lobbyregister,2022-05-04,"""Biofuels Schweiz","""Biofuels Schweiz",norm_lobbyregister_eintrag_2022-09-19_#0000009,
"""""",lobbyregister_membership,lobbyregister,2022-07-01,"""Intec""-Beirat","""Intec""-Beirat",norm_lobbyregister_eintrag_2022-09-19_#0000015,
"""""",lobbyregister_membership,lobbyregister,2022-07-01,(AiF),(AiF),norm_lobbyregister_eintrag_2022-09-19_#0000017,
"""""",lobbyregister_membership,lobbyregister,2022-03-18,(bsw),(bsw),norm_lobbyregister_eintrag_2022-09-19_#0000019,
"""""",lobbyregister_membership,lobbyregister,2022-02-23,(DHV),(DHV),norm_lobbyregister_eintrag_2022-09-19_#0000020,
"""""",lobbyregister_membership,lobbyregister,2022-07-04,(IDLw),(IDLw),norm_lobbyregister_eintrag_2022-09-19_#0000021,
"""""",lobbyregister_membership,lobbyregister,2022-08-02,"(MiMuk) NRW - AG"" Mutter-Vater-Kind- Einrichtungen","(MiMuk) NRW - AG"" Mutter-Vater-Kind- Einrichtungen",norm_lobbyregister_eintrag_2022-09-19_#0000022,
"""""",lobbyregister_membership,lobbyregister,2022-07-11,(NARK),(NARK),norm_lobbyregister_eintrag_2022-09-19_#0000023,
